N,Avocado,Mangoes ,Oranges ,Papaya ,,,,,,,,,,
633,,3,3,,,,,,,,,,,
634,,3,3,,,,,,,,,,,
635,,3,3,,,,,,,,,,,
636,,3,3,,,,,,,,,,,
637,,3,3,,,,,,,,,,,
638,,2,2,1,,,,,,,,,,
639,,2,3,2,,,,,,,,,,
640,,2,3,2,,,,,,,,,,
641,,2,3,1,,,,,,,,,,
642,,2,3,2,,,,,,,,,,
643,,2,3,2,,,,,,,,,,
644,,2,3,3,,,,,,,,,,
645,,2,3,1,,,,,,,,,,
646,,2,3,1,,,,,,,,,,
647,,2,3,2,,,,,,,,,,
648,,2,3,2,,,,,,,,,,
649,,2,2,2,,,,,,,,,,
650,,2,2,2,,,,,,,,,,
651,,2,2,2,,,,,,,,,,
652,,2,2,1,,,,,,,,,,
653,,2,2,1,,,,,,,,,,
654,,2,2,2,,,,,,,,,,
655,,2,2,2,,,,,,,,,,
656,,2,2,2,,,,,,,,,,
657,,2,2,2,,,,,,,,,,
658,,2,4,2,,,,,,,,,,
659,,2,4,2,,,,,,,,,,
660,,2,4,2,,,,,,,,,,
661,,2,4,2,,,,,,,,,,
662,,2,4,2,,,,,,,,,,
663,,2,4,2,,,,,,,,,,
664,,2,4,2,,,,,,,,,,
665,,2,4,2,,,,,,,,,,
666,,2,4,2,,,,,,,,,,
667,,2,4,2,,,,,,,,,,
668,,3,3,2,,,,,,,,,,
669,,3,3,2,,,,,,,,,,
670,,3,3,2,,,,,,,,,,
671,,3,3,2,,,,,,,,,,
672,,3,3,2,,,,,,,,,,
673,,3,3,2,,,,,,,,,,
674,,3,3,2,,,,,,,,,,
675,,3,3,2,,,,,,,,,,
676,,3,3,2,,,,,,,,,,
677,,3,3,2,,,,,,,,,,
678,,4,4,1,,,,,,,,,,
679,,4,4,1,,,,,,,,,,
680,,5,4,1,,,,,,,,,,
681,,4,4,0,,,,,,,,,,
682,,4,4,1,,,,,,,,,,
683,,4,4,0,,,,,,,,,,
684,,4,4,0,,,,,,,,,,
685,,5,4,1,,,,,,,,,,
686,,4,4,1,,,,,,,,,,
687,,4,4,1,,,,,,,,,,
